"ROUTEVIEWS_COLLECTOR","ASNUMBER","REGION","PREFIXES"
"route-views.napafrica.routeviews.org","328137","ZA","afrinic"
"route-views.napafrica.routeviews.org","15133","US","arin"
"route-views.napafrica.routeviews.org","328266","ZA","afrinic"
"route-views.napafrica.routeviews.org","32653","ZA","afrinic"
"route-views.napafrica.routeviews.org","328320","ZA","afrinic"
"route-views.napafrica.routeviews.org","8674","SE","ripencc"
"route-views.napafrica.routeviews.org","714","US","arin"
"route-views.napafrica.routeviews.org","714","US","arin"
"route-views.napafrica.routeviews.org","199524","LU","ripencc"
"route-views.napafrica.routeviews.org","327991","ZA","afrinic"
"route-views.napafrica.routeviews.org","16552","US","arin"
"route-views.napafrica.routeviews.org","57351","GB","ripencc"
"route-views.napafrica.routeviews.org","36968","ZA","afrinic"
"route-views.napafrica.routeviews.org","3491","US","arin"
"route-views.napafrica.routeviews.org","327991","ZA","afrinic"
"route-views.napafrica.routeviews.org","37468","AO","afrinic"
"route-views.napafrica.routeviews.org","328512","ZA","afrinic"
"route-views.napafrica.routeviews.org","3741","ZA","afrinic"
"route-views.napafrica.routeviews.org","32653","ZA","afrinic"
"route-views.napafrica.routeviews.org","327754","ZA","afrinic"
"route-views.napafrica.routeviews.org","2018","ZA","afrinic"
"route-views.napafrica.routeviews.org","328137","ZA","afrinic"
"route-views.napafrica.routeviews.org","328206","ZA","afrinic"
"route-views.napafrica.routeviews.org","15133","US","arin"
"route-views.napafrica.routeviews.org","328266","ZA","afrinic"
"route-views.napafrica.routeviews.org","32653","ZA","afrinic"
"route-views.napafrica.routeviews.org","8674","SE","ripencc"
"route-views.napafrica.routeviews.org","714","US","arin"
"route-views.napafrica.routeviews.org","714","US","arin"
"route-views.napafrica.routeviews.org","199524","LU","ripencc"
"route-views.napafrica.routeviews.org","327991","ZA","afrinic"
"route-views.napafrica.routeviews.org","16552","US","arin"
"route-views.napafrica.routeviews.org","57351","GB","ripencc"
"route-views.nwax.routeviews.org","1798","US","arin"
