loc,IPv,Y,X,AS_rank_continent,Colors,ASN
GLOBAL,4,1,-0.4250172657158588,North America,3,397119
GLOBAL,4,1,-0.4250172657158588,North America,3,32663
GLOBAL,4,1,-0.4250172657158588,North America,3,22478
GLOBAL,4,1,-0.4250172657158588,North America,3,22651
GLOBAL,4,1,-0.3411509686774679,North America,3,397826
GLOBAL,4,1,-0.4250172657158588,North America,3,16752
GLOBAL,4,1,-0.4250172657158588,North America,3,397508
GLOBAL,4,1,-0.4250172657158588,North America,3,16909
GLOBAL,4,1,-0.5913683665671882,North America,3,14293
GLOBAL,4,1,-0.4250172657158588,North America,3,25614
GLOBAL,4,1,-0.4250172657158588,North America,3,32612
GLOBAL,4,1,-0.4250172657158588,North America,3,46226
GLOBAL,4,1,-0.3411509686774679,North America,3,20159
GLOBAL,4,1,-0.32422082714937517,North America,3,54418
GLOBAL,4,1,-0.32422082714937517,North America,3,26688
GLOBAL,4,1,-0.4250172657158588,North America,3,46355
GLOBAL,4,1,-0.4250172657158588,North America,3,46397
GLOBAL,4,1,-0.4250172657158588,North America,3,1622
GLOBAL,4,1,-0.4250172657158588,North America,3,6244
GLOBAL,4,1,-0.4250172657158588,North America,3,30050
GLOBAL,4,1,-0.4250172657158588,North America,3,16665
GLOBAL,4,1,-0.4250172657158588,North America,3,53516
GLOBAL,4,1,-0.4250172657158588,North America,3,30590
GLOBAL,4,1,-0.3411509686774679,North America,3,40811
GLOBAL,4,1,-0.4250172657158588,North America,3,20078
GLOBAL,4,1,-0.4250172657158588,North America,3,22151
GLOBAL,4,1,-0.4250172657158588,North America,3,36266
GLOBAL,4,1,-0.4250172657158588,North America,3,30503
GLOBAL,4,1,-0.4250172657158588,North America,3,31989
GLOBAL,4,1,-0.4250172657158588,North America,3,395792
GLOBAL,4,1,-0.4250172657158588,North America,3,12043
GLOBAL,4,1,-0.4250172657158588,North America,3,397758
GLOBAL,4,1,-0.4250172657158588,North America,3,30474
GLOBAL,4,1,-0.4250172657158588,North America,3,46822
GLOBAL,4,1,-0.4250172657158588,North America,3,4897
GLOBAL,4,1,-0.4250172657158588,North America,3,19188
GLOBAL,4,1,-0.4250172657158588,North America,3,26750
GLOBAL,4,1,-0.40787499611482614,North America,3,14465
GLOBAL,4,1,-0.4250172657158588,North America,3,12072
GLOBAL,4,1,-0.4250172657158588,North America,3,36227
GLOBAL,4,1,-0.4250172657158588,North America,3,14310
GLOBAL,4,1,-0.4250172657158588,North America,3,398494
GLOBAL,4,1,-0.4250172657158588,North America,3,393285
GLOBAL,4,1,-0.3411509686774679,North America,3,54514
GLOBAL,4,1,-0.4250172657158588,North America,3,394980
GLOBAL,4,1,-0.4250172657158588,North America,3,16764
GLOBAL,4,1,-0.4250172657158588,North America,3,54894
