,bias,links,comms
327754,0.06940144068594556,,
61292,0.07011306869264544,,
20612,0.0708242703056694,1203.0,9107.0
29505,0.07118072494254335,,
41028,0.07181750314975144,,
4777,0.07368737207233966,148.0,0.0
64271,0.07412210669817121,,
42275,0.07416959250166055,,
33823,0.07448359753829958,,
43578,0.07596551340449675,,
14907,0.08143144250927215,1517.0,33626.0
29438,0.08203594081730436,,
35267,0.08223965910221231,,
35505,0.08387086507617436,,
9318,0.08439868105352133,,
51999,0.08474289662179224,,
327960,0.08795824944489716,705.0,1844.0
8660,0.08877661484725241,1314.0,0.0
35426,0.08904174571151557,,
20704,0.09092890052320168,,
31383,0.09284927939454679,,
16314,0.09445795521711986,,
